이번	2	2670
신제품	3	192
출시	4	226
에	5	26520
대하	6	491
ㄴ	7	25795
시장	8	151
의	9	5576
반응	10	115
은	11	23298
어떤가요	12	68
?	13	33216
판매량	14	50
이	15	76508
지난번	16	181
제품	17	2023
보다	18	1098
빠르	19	320
게	20	10904
늘	21	229
고	22	20720
있	23	26210
습니다	24	6234
.	25	75264
그렇다면	26	655
공장	27	143
연락	28	750
하	29	74142
어서	30	9583
주문량	31	20
을	32	25588
더	33	3203
늘리	34	54
어야겠네	35	126
요	36	49097
네	37	8929
저	38	8481
가	39	38012
배	40	363
로	41	9148
ㄹ	42	19371
리	43	738
겠습니다	44	3916
지나	45	528
회의	46	913
마지막	47	231
논의	48	26
었던	49	1011
안건	50	31
다시	51	1543
보	52	11906
ㄹ까	53	3481
그	54	2651
보다는	55	273
주	56	12305
새롭	57	340
주제	58	95
급하	59	327
것	60	20113
같	61	9330
그렇	62	6842
ㅁ	63	5243
으로	64	7256
를	65	14868
시작	66	704
도록	67	1527
죠	68	2016
자료	69	346
는	70	31694
여러분	71	35
앞	72	1094
미리	73	557
준비	74	915
되	75	15712
어	76	42691
금요일	77	204
까지	78	2436
천개	79	4
주문	80	1706
라는	81	288
ㄴ가	82	4134
시간	83	3154
조금	84	1693
촉박	85	32
기	86	5185
하지만	87	296
가능	88	2613
보이	89	1622
ㄴ데	90	7397
지	91	14392
말	92	4804
수령	93	67
달	94	908
정도	95	1906
걸리	96	736
이런	97	477
저희	98	2547
물건	99	526
최대한	100	334
받	101	3042
싶	102	3341
사무용품	103	15
이나	104	798
가구	105	38
중	106	1691
가장	107	856
먼저	108	738
바꾸	109	764
어야	110	3681
뭐	111	1034
라	112	3629
생각	113	2259
나	114	18984
아	115	28878
아무렇	116	352
어도	117	1581
컴퓨터	118	319
아니	119	3384
많	120	4648
쓰	121	1577
니까	122	1896
모두	123	642
시ㄹ	124	2377
책상	125	107
ㄴ다	126	1299
수	127	9649
도	128	11275
겠네	129	674
회사	130	2001
에서	131	6845
제일	132	523
오래	133	472
었죠	134	71
오늘	135	2958
내	136	3100
본사	137	89
시는	138	1074
분	139	2178
오후	140	503
시	141	2401
쯤	142	286
려고	143	1622
었습니다	144	1775
결과	145	224
함께	146	531
시겠어	147	780
너무	148	3476
늦	149	748
않	150	5032
을까	151	2402
지금	152	3589
보내	153	1318
행사	154	301
진행	155	866
